player,batting_style,bowling_style,age,role,team
K Srikar Bharat,Right hand Bat,,30y 7d,Wicketkeeper Batter,Andhra
Ashwin Hebbar,Right hand Bat,Right arm Slow medium,27y 329d,Opening Batter,Andhra
Ricky Bhui,Right hand Bat,Legbreak Googly,27y 11d,Top order Batter,Andhra
Shaik Rasheed,Right hand Bat,Legbreak,19y 16d,Batter,Andhra
Hanuma Vihari,Right hand Bat,Right arm Offbreak,29y 362d,Batting Allrounder,Andhra
Prithvi Raj,Left hand Bat,Left arm Medium,25y 232d,Bowler,Andhra
Harishankar Reddy,Right hand Bat,Right arm Medium,25y 130d,Bowler,Andhra
KV Sasikanth,Right hand Bat,Right arm Medium,28y 85d,Bowler,Andhra
S Akhil,Right hand Bat,Right arm Medium fast,24y 353d,Bowler,Andhra
Dheeraj Kumar,Right hand Bat,Right arm Offbreak,24y 36d,Bowler,Andhra
M Hemanth Reddy,Right hand Bat,Legbreak,20y 347d,Bowler,Andhra
K Karan Shinde,Left hand Bat,Legbreak Googly,26y 21d,Bowler,Andhra
Lalit Mohan,Right hand Bat,Slow Left arm Orthodox,33y 205d,Bowler,Andhra
Manish Golamaru,Left hand Bat,Slow Left arm Orthodox,27y 27d,Bowler,Andhra
K Saiteja,Right hand Bat,Right arm Medium,23y 254d,Bowler,Andhra
Yara Sandeep,Right hand Bat,Right arm Offbreak,24y 8d,Bowler,Andhra
Cheepurapalli Stephen,Left hand Bat,Left arm Medium,29y 311d,Bowler,Andhra
Pinninti Tapaswi,Right hand Bat,Right arm Medium,27y 58d,Bowler,Andhra
Tripurana Vijay,Right hand Bat,Right arm Offbreak,22y 35d,Bowler,Andhra
AC Ayachi,Right hand Bat,Right arm Medium,28y 111d,Bowler,Arunachal Pradesh
Neelam Obi,Right hand Bat,Legbreak Googly,30y 261d,Bowler,Arunachal Pradesh
Techi Doria,Right hand Bat,Right arm Medium,29y 216d,Bowler,Arunachal Pradesh
Aryan Sahani,Right hand Bat,Right arm Medium fast,16y 105d,Bowler,Arunachal Pradesh
Ayush Awasthi,Right hand Bat,,16y 320d,Bowler,Arunachal Pradesh
Jay Bhavsar,Right hand Bat,Slow Left arm Orthodox,22y 307d,Bowler,Arunachal Pradesh
Sitesh Das,Right hand Bat,Right arm Offbreak,26y 321d,Bowler,Arunachal Pradesh
Nabam Hachang,Right hand Bat,,26y 332d,Bowler,Arunachal Pradesh
Aprameya Jaiswal,Right hand Bat,Right arm Offbreak,27y 299d,Bowler,Arunachal Pradesh
Licha Jhon,Right hand Bat,,25y 296d,Bowler,Arunachal Pradesh
Nabam Joshi,Right hand Bat,,25y 262d,Bowler,Arunachal Pradesh
Techi Neri,Right hand Bat,Right arm Offbreak,29y 147d,Bowler,Arunachal Pradesh
Kumar Nyompu,Left hand Bat,Right arm Offbreak,31y 27d,Bowler,Arunachal Pradesh
Sagar Rana,Right hand Bat,Right arm Offbreak,22y 315d,Bowler,Arunachal Pradesh
Yorjum Sera,Left hand Bat,,21y 195d,Bowler,Arunachal Pradesh
