batsman,runs,ball,innings,dismissals,hundreds,fifties,thirties,highest_score,AVG,debut_year,final_year,matches
A Aravinddaraj,0,3,1,0,,,,0,0,2020/21,2020/21,1
A Ashish Reddy,135,130,12,11,,,1,37,12.27272727,2015/16,2018/19,12
A G Pradeep,51,59,5,5,,,,26,10.2,2015/16,2015/16,5
A Mithun,50,48,13,12,,,,18,4.166666667,2015/16,2020/21,13
A Mukund,170,141,7,5,,1,2,67,34,2015/16,2017/18,7
A Palkar,2,2,1,0,,,,2,2,2021/22,2021/22,1
A Prateek Reddy,3,13,2,2,,,,3,1.5,2022/23,2022/23,2
A Pratyush Kumar,24,29,1,0,,,,24,24,2018/19,2018/19,1
A Singhania,44,55,8,6,,,,18,7.333333333,2018/19,2020/21,8
AA Bamal,26,19,4,4,,,,18,6.5,2017/18,2017/18,4
AA Barot,348,223,11,11,1,1,,122,31.63636364,2015/16,2020/21,11
AA Chakraborty,4,9,3,1,,,,2,4,2017/18,2018/19,3
AA Herwadkar,262,224,11,11,,1,3,68,23.81818182,2015/16,2017/18,11
AA Kazi,61,56,4,4,,,1,36,15.25,2018/19,2018/19,4
AA Sanklecha,14,10,3,2,,,,11,7,2015/16,2015/16,3
AB Dinda,59,64,9,6,,,,22,9.833333333,2015/16,2020/21,9
AD Nath,700,599,34,24,,2,8,80,29.16666667,2015/16,2022/23,34
AG Jungade,6,9,1,1,,,,6,6,2015/16,2015/16,1
AG Paunikar,82,66,7,5,,,,23,16.4,2018/19,2018/19,7
AG Sehrawat,18,34,2,2,,,,13,9,2017/18,2017/18,2
AH Hooda,2,10,4,3,,,,2,0.666666667,2015/16,2018/19,4
AJ Kaushik,47,46,2,2,,,1,31,23.5,2018/19,2018/19,2
AKS Bains,96,93,5,4,,,1,33,24,2022/23,2022/23,5
AL Menaria,232,220,15,13,,2,,67,17.84615385,2015/16,2022/23,15
AM Nayar,135,100,6,3,,,2,49,45,2015/16,2015/16,6
AM Reddy,29,32,3,3,,,,16,9.666666667,2022/23,2022/23,3
AN Ahmed,85,83,14,11,,,,26,7.727272727,2015/16,2021/22,14
AN Ghosh,81,92,5,6,,,,26,13.5,2015/16,2017/18,5
AN Longchar,46,88,5,5,,,,23,9.2,2019/20,2019/20,5
AP Majumdar,144,114,7,5,,,3,48,28.8,2017/18,2020/21,7
AP Tare,1009,766,42,33,,4,10,82,30.57575758,2015/16,2022/23,42
AR Lamba,5,9,2,1,,,,3,5,2019/20,2021/22,2
AR Mokhade,1,2,1,1,,,,1,1,2022/23,2022/23,1
AR Pandey,104,90,7,8,,,1,33,13,2015/16,2023/24,7
AR Patel,484,385,18,13,,2,6,70,37.23076923,2017/18,2020/21,18
ARB Singh,20,30,3,2,,,,11,10,2017/18,2017/18,3
AS Karambelkar,24,20,3,2,,,,12,12,2017/18,2019/20,3
AS Rajpoot,23,33,6,3,,,,8,7.666666667,2017/18,2021/22,6
AS Raut,200,210,13,13,,,2,41,15.38461538,2015/16,2021/22,13
AS Surwar,15,12,2,1,,,,12,15,2017/18,2017/18,2
AS Thakare,1,2,1,1,,,,1,1,2020/21,2020/21,1
AUK Pathan,174,148,6,5,,1,1,81,34.8,2015/16,2015/16,6
AV Kolhar,125,111,6,4,,,1,45,31.25,2019/20,2019/20,6
AV Wankhade,784,601,31,23,,2,10,71,34.08695652,2015/16,2022/23,31
Aakarshit Gomel,2,5,1,1,,,,2,2,2020/21,2020/21,1
Aakash Verma,16,23,3,3,,,,10,5.333333333,2017/18,2017/18,3
Aamir Gani,4,11,2,2,,,,2,2,2015/16,2015/16,2
Aanshul Gupta,214,211,13,13,,,3,39,16.46153846,2015/16,2021/22,13
Aarya Desai,99,82,4,4,,,1,44,24.75,2023/24,2023/24,4
Abdul Basith,66,51,2,2,,1,,54,33,2022/23,2023/24,2
Abdul Samad,428,312,16,11,,1,6,76,38.90909091,2018/19,2023/24,16
Abhay,1,14,3,2,,,,1,0.5,2019/20,2019/20,3
Abhay Negi,173,127,13,10,,1,,50,17.3,2018/19,2020/21,13
Abhijeet Saket,0,2,2,2,,,,0,0,2019/20,2021/22,2
Abhijeet Tomar,37,63,4,4,,,,14,9.25,2017/18,2018/19,4
Abhijit Roy,21,32,2,2,,,,13,10.5,2015/16,2015/16,2
Abhijit Sarkar,8,9,4,3,,,,6,2.666666667,2017/18,2023/24,4
Abhilash Gogoi,20,23,4,3,,,,8,6.666666667,2019/20,2019/20,4
Abhilash Mallick,37,46,2,3,,,1,30,12.33333333,2015/16,2015/16,2
Abhimanyu Easwaran,569,445,20,14,1,3,5,107,40.64285714,2018/19,2023/24,20
Abhimanyu Rana,2,7,1,1,,,,2,2,2022/23,2022/23,1
Abhimanyusingh Rajput,125,97,5,4,,1,1,61,31.25,2020/21,2023/24,5
Abhinav Dixit,84,84,5,3,,,1,37,28,2018/19,2018/19,5
Abhinav Manohar,282,196,8,5,,2,2,70,56.4,2021/22,2023/24,8
Abhinav Srivastava,10,16,2,2,,,,9,5,2021/22,2021/22,2
Abhisek Das,142,146,7,6,,1,1,56,23.66666667,2015/16,2021/22,7
Abhishek Bhandari,109,87,6,6,,,2,46,18.16666667,2018/19,2019/20,6
Abhishek Goswami,178,159,8,9,,1,1,77,19.77777778,2020/21,2023/24,8
Abhishek Gupta,33,36,5,5,,,,18,6.6,2017/18,2017/18,5
Abhishek Mohan,20,20,3,2,,,,12,10,2017/18,2018/19,3
Abhishek Pandey,1,2,1,1,,,,1,1,2020/21,2020/21,1
Abhishek Sakuja,1,2,1,0,,,,1,1,2017/18,2017/18,1
Abhishek Sharma,20,29,6,1,,,,6,20,2017/18,2020/21,6
Abhishek Singh,5,3,1,0,,,,5,5,2021/22,2021/22,1
Abhishek Tanwar,6,7,2,0,,,,5,3,2018/19,2018/19,2
Abhishek Thakuri,116,131,8,7,,,1,35,16.57142857,2020/21,2022/23,8
Abhishek Yadav,249,220,14,12,,1,3,52,20.75,2015/16,2021/22,14
Abid Mushtaq,29,32,5,4,,,,19,7.25,2019/20,2023/24,5
Abishek Porel,23,16,1,1,,,,23,23,2023/24,2023/24,1
Achit Shigwan,59,51,6,6,,,,20,9.833333333,2017/18,2019/20,6
Adil Reshi,17,26,5,4,,,,8,4.25,2015/16,2018/19,5
Aditya,64,47,1,2,,1,,64,32,2018/19,2018/19,1
Aditya Garhwal,263,246,17,15,,,4,43,17.53333333,2017/18,2021/22,17
Aditya Kaushik,567,527,24,23,,4,4,78,24.65217391,2015/16,2022/23,24
Aditya Singh,541,460,19,19,,3,5,81,28.47368421,2015/16,2021/22,19
Aditya Waghmode,282,201,10,7,,2,3,82,40.28571429,2015/16,2019/20,10
Agni Chopra,113,68,3,3,,1,,76,37.66666667,2023/24,2023/24,3
Agniv Pan,44,56,3,2,,,,17,22,2019/20,2019/20,3
Ahmed Banday,88,96,8,8,,,,24,11,2015/16,2020/21,8
Ahmed Shah,60,65,10,10,,,,13,6,2018/19,2022/23,10
Ajay Pradhan,0,2,1,1,,,,0,0,2020/21,2020/21,1
