bowler,innings,balls,runs,wkts,sixes,fours,dots,three_wicket_hauls,maiden_overs,bbi,dot%,avg,sr,econ
A Aravinddaraj,9,165,197,6,3,22,47,0,0,2,28.48484848,32.83333333,27.5,7.163636364
A Ashish Reddy,7,129,189,4,6,18,28,1,0,3,21.70542636,47.25,32.25,8.790697674
A Mithun,31,641,832,32,32,84,235,2,2,5,36.66146646,26,20.03125,7.787831513
A Nehra,2,37,44,1,1,4,14,0,0,1,37.83783784,44,37,7.135135135
A Palkar,6,110,114,9,3,12,51,1,6,3,46.36363636,12.66666667,12.22222222,6.218181818
A Singhania,13,204,240,9,9,11,62,1,0,4,30.39215686,26.66666667,22.66666667,7.058823529
AA Bamal,5,122,115,3,2,8,41,0,0,2,33.60655738,38.33333333,40.66666667,5.655737705
AA Barot,1,18,31,1,3,1,6,0,0,1,33.33333333,31,18,10.33333333
AA Chakraborty,10,208,236,4,8,13,61,0,0,1,29.32692308,59,52,6.807692308
AA Kazi,4,71,115,0,7,6,13,0,0,0,18.30985915,,,9.718309859
AA Sanklecha,4,88,117,5,3,16,36,1,0,3,40.90909091,23.4,17.6,7.977272727
AB Bhadoriya,2,42,43,0,1,3,16,0,0,0,38.0952381,,,6.142857143
AB Dinda,27,593,697,25,11,86,223,1,6,4,37.60539629,27.88,23.72,7.05227656
AD Nath,8,102,137,5,7,8,19,0,0,2,18.62745098,27.4,20.4,8.058823529
AG Jungade,2,30,45,1,2,2,7,0,0,1,23.33333333,45,30,9
AH Hooda,24,460,506,18,10,63,197,1,12,3,42.82608696,28.11111111,25.55555556,6.6
AL Menaria,4,67,55,2,1,1,23,0,0,1,34.32835821,27.5,33.5,4.925373134
AM Nayar,8,151,174,6,6,10,37,0,0,2,24.50331126,29,25.16666667,6.913907285
AN Ahmed,23,415,454,25,15,49,179,2,7,3,43.13253012,18.16,16.6,6.563855422
AN Longchar,1,5,6,0,0,1,2,0,0,0,40,,,7.2
AP Majumdar,1,6,14,1,0,3,1,0,0,1,16.66666667,14,6,14
AR Lamba,5,110,158,4,6,18,40,0,0,1,36.36363636,39.5,27.5,8.618181818
AR Pandey,13,200,299,4,9,36,63,0,0,2,31.5,74.75,50,8.97
AR Patel,23,498,457,18,14,30,212,0,12,2,42.57028112,25.38888889,27.66666667,5.506024096
ARB Singh,1,26,26,1,1,1,8,0,0,1,30.76923077,26,26,6
AS Karambelkar,3,31,57,0,4,4,5,0,0,0,16.12903226,,,11.03225806
AS Kumar,1,12,11,1,0,1,6,0,0,1,50,11,12,5.5
AS Rajpoot,36,793,834,55,19,98,336,7,31,5,42.37074401,15.16363636,14.41818182,6.310214376
AS Raut,18,322,350,10,11,26,106,1,0,3,32.91925466,35,32.2,6.52173913
AS Surwar,3,60,80,4,4,4,17,0,0,2,28.33333333,20,15,8
AS Thakare,3,69,68,4,2,5,28,0,3,2,40.57971014,17,17.25,5.913043478
Aamir Aziz,1,24,21,1,1,0,8,0,0,1,33.33333333,21,24,5.25
Aamir Gani,6,134,144,7,5,9,42,0,0,2,31.34328358,20.57142857,19.14285714,6.447761194
Aanshul Gupta,1,6,18,0,2,1,1,0,0,0,16.66666667,,,18
Aarya Desai,1,6,11,0,1,1,3,0,0,0,50,,,11
Abdul Samad,7,60,77,1,1,9,17,0,0,1,28.33333333,77,60,7.7
Abhay,1,6,5,1,0,0,3,0,0,1,50,5,6,5
Abhay Negi,19,450,493,18,13,56,186,1,6,3,41.33333333,27.38888889,25,6.573333333
Abhijeet Saket,10,215,253,13,10,27,82,2,0,3,38.13953488,19.46153846,16.53846154,7.060465116
Abhijit Sarkar,7,125,166,2,4,16,33,0,0,2,26.4,83,62.5,7.968
Abhilash Gogoi,5,102,114,4,5,8,42,0,0,1,41.17647059,28.5,25.5,6.705882353
Abhilash Mallick,1,5,5,0,0,1,3,0,0,0,60,,,6
Abhimanyusingh Rajput,3,56,83,4,2,9,12,1,0,4,21.42857143,20.75,14,8.892857143
Abhishek Mohan,4,91,120,5,6,6,24,1,0,3,26.37362637,24,18.2,7.912087912
Abhishek Sakuja,2,49,61,0,3,4,14,0,0,0,28.57142857,,,7.469387755
Abhishek Sharma,24,525,593,24,11,72,210,2,14,4,40,24.70833333,21.875,6.777142857
Abhishek Singh,8,163,165,4,6,18,78,1,0,3,47.85276074,41.25,40.75,6.073619632
Abhishek Tanwar,7,134,128,7,4,12,62,1,6,3,46.26865672,18.28571429,19.14285714,5.731343284
Abhishek Yadav,9,114,158,5,10,6,33,0,0,1,28.94736842,31.6,22.8,8.315789474
Abid Mushtaq,14,294,292,11,12,18,123,0,0,2,41.83673469,26.54545455,26.72727273,5.959183673
Achit Shigwan,5,31,42,2,2,3,7,0,0,1,22.58064516,21,15.5,8.129032258
Adil Reshi,1,6,13,0,0,2,0,0,0,0,0,,,13
Aditya Garhwal,1,18,15,2,0,0,3,0,0,2,16.66666667,7.5,9,5
Aditya Jadeja,3,45,38,3,1,4,24,0,0,1,53.33333333,12.66666667,15,5.066666667
Aditya Sarwate,5,92,103,7,4,7,30,0,0,2,32.60869565,14.71428571,13.14285714,6.717391304
Aditya Singh,15,203,246,7,8,17,48,0,0,2,23.6453202,35.14285714,29,7.270935961
